year,county,county_fips,diabetes_percentage,pct_american_indian_or_alaska_native,pct_asian_or_pacific_islander,pct_black_or_african_american,pct_white,pct_hispanic_or_latino,pct_not_hispanic_or_latino,pct_20-44,pct_45-64,pct_65-74,pct_75+,adult_smoking_percent,adult_obesity_percent,physical_inactivity_percent,rural
2013,clay,37043,9.5,0.33,0.24,0.83,78.49,1.64,78.25,23.07,29.63,16.64,10.55,24.5,25.1,24.3,TRUE
2014,clay,37043,8.9,0.35,0.21,0.99,78.73,1.7,78.58,23.1,29.16,17.18,10.85,20.7,25.8,29.2,TRUE
2010,cleveland,37045,11.9,0.22,0.66,14.41,58.32,1.59,72.01,30.07,28.51,8.57,6.46,25.2,29.7,NA,TRUE
2011,cleveland,37045,10.9,0.23,0.67,14.53,58.63,1.65,72.41,29.88,28.78,8.82,6.59,23.6,31.9,29.7,TRUE
2012,cleveland,37045,10.5,0.23,0.71,14.56,58.85,1.69,72.66,29.67,28.62,9.39,6.66,23.9,32.3,30,TRUE
2013,cleveland,37045,10.6,0.24,0.74,14.74,59.04,1.69,73.07,29.66,28.48,9.83,6.8,24.8,32.3,30,TRUE
2014,cleveland,37045,11.2,0.24,0.78,14.97,59.03,1.71,73.31,29.61,28.29,10.24,6.89,24.3,30.2,31.3,TRUE
2010,columbus,37047,11.6,2.45,0.29,22.56,49.07,2.56,71.81,30.82,28.23,9,6.32,27.3,31.7,NA,TRUE
2011,columbus,37047,12,2.55,0.32,22.71,49.2,2.55,72.24,30.76,28.25,9.24,6.54,27.3,33,32.6,TRUE
2012,columbus,37047,12.9,2.56,0.35,22.78,49.48,2.58,72.58,30.62,27.89,9.82,6.83,25.2,33.8,28.7,TRUE
2013,columbus,37047,13.8,2.59,0.4,22.86,49.54,2.56,72.83,30.42,27.73,10.28,6.96,24.4,33.8,28.7,TRUE
2014,columbus,37047,13.1,2.63,0.44,23.01,49.47,2.6,72.96,30.26,27.48,10.61,7.21,23,32.1,28.3,TRUE
2010,craven,37049,11.2,0.45,1.7,16.04,55.79,3.67,70.31,33.82,24.91,8.43,6.81,21.4,30.3,NA,FALSE
2011,craven,37049,10,0.48,1.73,15.81,56.09,3.88,70.23,34.19,24.57,8.5,6.86,19.6,29.9,26,FALSE
2012,craven,37049,9.7,0.51,1.82,15.71,56.42,4.08,70.38,34.8,23.8,8.87,6.99,20.1,33.7,27,FALSE
2013,craven,37049,9.4,0.5,1.92,15.83,56.53,4.26,70.52,34.82,23.55,9.24,7.17,23.9,33.7,27,FALSE
2014,craven,37049,11.6,0.52,1.98,15.89,56.63,4.41,70.61,34.81,23.32,9.6,7.28,22.1,31.9,29.4,FALSE
2010,cumberland,37051,12.6,1.34,2.34,25.77,41.01,5.79,64.68,39.02,22.16,5.4,3.88,26.4,31.1,NA,FALSE
2011,cumberland,37051,11.7,1.34,2.39,25.89,41.02,6.13,64.5,39.14,22.08,5.46,3.95,26,32.5,27.5,FALSE
2012,cumberland,37051,12.1,1.34,2.48,26.29,40.97,6.38,64.7,39.22,22.02,5.79,4.05,24.4,33.2,29.5,FALSE
2013,cumberland,37051,12.6,1.36,2.56,26.59,41.04,6.74,64.82,39.66,21.78,5.97,4.15,23.4,33.2,29.5,FALSE
2014,cumberland,37051,12.6,1.37,2.61,27.08,40.73,6.9,64.89,39.57,21.73,6.22,4.27,22.1,33.8,30.3,FALSE
2010,currituck,37053,10,0.38,0.62,4.46,68.68,1.75,72.38,29.75,31.38,8.13,4.87,36.7,27.2,NA,FALSE
2011,currituck,37053,9.4,0.39,0.63,4.45,69.05,1.86,72.66,29.31,31.92,8.27,5.03,34.1,29.1,23.5,FALSE
2012,currituck,37053,9.4,0.41,0.65,4.4,69.42,2.04,72.84,29.13,31.76,8.84,5.15,NA,32.6,24.2,FALSE
2013,currituck,37053,9.2,0.45,0.66,4.48,69.78,2.02,73.34,29.16,31.74,9.18,5.29,NA,32.6,24.2,FALSE
2014,currituck,37053,9.6,0.48,0.73,4.48,69.76,2.21,73.23,29.1,31.61,9.52,5.21,26.4,29.2,25.9,FALSE
2010,dare,37055,8.7,0.35,0.54,2.12,75.18,4.22,73.98,30.04,32.85,9.43,5.88,29.4,24.3,NA,TRUE
2011,dare,37055,8,0.37,0.56,2.1,75.07,4.19,73.91,29.49,32.79,9.87,5.94,33.6,25.1,23.3,TRUE
2012,dare,37055,8.7,0.39,0.56,2.18,75.05,4.2,73.98,29.08,32.27,10.62,6.2,NA,28.6,24.9,TRUE
2013,dare,37055,8.1,0.39,0.55,2.25,75.14,4.15,74.18,28.7,32.02,11.21,6.41,NA,28.6,24.9,TRUE
2014,dare,37055,7.8,0.39,0.6,2.33,75.25,4.08,74.49,28.01,32.09,11.81,6.66,30.9,28.1,26.6,TRUE
2010,davidson,37057,9.9,0.5,0.94,6.47,66.01,3.57,70.35,30.9,28.57,8.38,6.06,26.4,30.1,NA,FALSE
2011,davidson,37057,9.9,0.51,0.95,6.58,66.23,3.5,70.78,30.55,28.95,8.54,6.24,24.7,29.9,28.6,FALSE
2012,davidson,37057,10.4,0.51,0.97,6.67,66.45,3.48,71.13,30.2,28.87,9.12,6.41,25.3,29.2,30,FALSE
2013,davidson,37057,9.5,0.53,1.02,6.82,66.56,3.56,71.37,29.95,28.83,9.56,6.59,24.9,29.2,30,FALSE
2014,davidson,37057,9.5,0.56,1.07,6.94,66.57,3.62,71.52,29.52,28.96,9.91,6.74,25.7,29,32.3,FALSE
2010,davie,37059,10,0.35,0.47,4.95,68.45,3.35,70.86,27.7,29.87,9.31,7.34,28.7,27.9,NA,FALSE
2011,davie,37059,9.7,0.36,0.49,4.9,68.93,3.54,71.14,27.5,30.08,9.5,7.6,28,27.8,27,FALSE
2012,davie,37059,9.8,0.37,0.47,4.95,69.45,3.48,71.74,27.24,29.95,10.11,7.92,26.8,28.5,28.9,FALSE
2013,davie,37059,8.8,0.38,0.49,4.88,69.86,3.47,72.14,27.03,29.97,10.49,8.11,24.7,28.5,28.9,FALSE
2014,davie,37059,9.4,0.4,0.51,4.95,70.08,3.55,72.38,26.64,30.05,10.87,8.36,22.5,28.1,26.1,FALSE
2010,duplin,37061,12.7,0.83,0.57,19.34,51.39,11.41,60.73,31.4,26.47,8.05,6.21,21.4,31.1,NA,TRUE
2011,duplin,37061,12,0.83,0.6,19.57,51.58,11.45,61.13,31.31,26.74,8.18,6.36,18.5,31.8,30.3,TRUE
2012,duplin,37061,11.2,0.84,0.6,19.7,51.55,11.48,61.2,30.81,26.7,8.66,6.51,18.9,34.5,33.8,TRUE
2013,duplin,37061,12.1,0.83,0.66,19.75,51.6,11.37,61.47,30.37,26.66,9.11,6.7,19.9,34.5,33.8,TRUE
