county_fips,pct_rural,rural
19049,47.04,Mostly Urban
19051,100,Rural
19053,100,Rural
19055,69.72,Mostly Rural
19057,26.73,Mostly Urban
19059,28.87,Mostly Urban
19061,23.46,Mostly Urban
19063,41.66,Mostly Urban
19065,69.18,Mostly Rural
19067,52.84,Mostly Rural
19069,64.18,Mostly Rural
19071,100,Rural
19073,56.98,Mostly Rural
19075,100,Rural
19077,100,Rural
19079,50.17,Mostly Rural
19081,73.72,Mostly Rural
19083,72.54,Mostly Rural
19085,79.23,Mostly Rural
19087,60.61,Mostly Rural
19089,60.46,Mostly Rural
19091,48.2,Mostly Urban
19093,100,Rural
19095,100,Rural
19097,51.04,Mostly Rural
19099,52.32,Mostly Rural
19101,40.01,Mostly Urban
19103,20.71,Mostly Urban
19105,57.85,Mostly Rural
19107,100,Rural
19109,64.72,Mostly Rural
19111,37.77,Mostly Urban
19113,14.84,Mostly Urban
19115,100,Rural
19117,50.67,Mostly Rural
19119,100,Rural
19121,63.86,Mostly Rural
19123,43.58,Mostly Urban
19125,45.93,Mostly Urban
19127,33.28,Mostly Urban
19129,63.53,Mostly Rural
19131,65.54,Mostly Rural
19133,71.2,Mostly Rural
19135,53.12,Mostly Rural
19137,44.97,Mostly Urban
19139,28.58,Mostly Urban
19141,69.32,Mostly Rural
19143,59.93,Mostly Rural
19145,34.51,Mostly Urban
19147,62.95,Mostly Rural
19149,62.14,Mostly Rural
19151,100,Rural
19153,5.29,Mostly Urban
19155,26.17,Mostly Urban
19157,56.76,Mostly Rural
19159,100,Rural
19161,100,Rural
19163,13.79,Mostly Urban
19165,59.2,Mostly Rural
19167,55.82,Mostly Rural
19169,25.96,Mostly Urban
19171,72.11,Mostly Rural
19173,100,Rural
19175,37.92,Mostly Urban
19177,100,Rural
19179,29.56,Mostly Urban
19181,41.73,Mostly Urban
19183,64.98,Mostly Rural
19185,100,Rural
19187,35.77,Mostly Urban
19189,68,Mostly Rural
19191,67.12,Mostly Rural
19193,16.83,Mostly Urban
19195,100,Rural
19197,59.55,Mostly Rural
20001,54.85,Mostly Rural
20003,55.65,Mostly Rural
